,sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,quarter,country_iso,admin1_name,admin1_iso,admin2_name,taxon,cohort_admin1_year,cohort_admin1_month,cohort_admin1_quarter,cohort_admin2_year,cohort_admin2_month,cohort_admin2_quarter
0,OKFR_001_A10-5273STDY12828340,TZ-AF-L-009,Fredros Okumu,Tanzania,Bagamoyo 4,2019,8,-6.385,38.568,F,1236-VO-TZ-OKUMU-OKFR-TZ-2008,1.1,3,TZA,Pwani,TZ-19,Bagamoyo,funestus,TZ-19_fune_2019,TZ-19_fune_2019_08,TZ-19_fune_2019_Q3,TZ-19_Bagamoyo_fune_2019,TZ-19_Bagamoyo_fune_2019_08,TZ-19_Bagamoyo_fune_2019_Q3
1,OKFR_001_A5-5273STDY12828339,TZ-AF-L-004,Fredros Okumu,Tanzania,Bagamoyo 4,2019,8,-6.385,38.568,F,1236-VO-TZ-OKUMU-OKFR-TZ-2008,1.1,3,TZA,Pwani,TZ-19,Bagamoyo,funestus,TZ-19_fune_2019,TZ-19_fune_2019_08,TZ-19_fune_2019_Q3,TZ-19_Bagamoyo_fune_2019,TZ-19_Bagamoyo_fune_2019_08,TZ-19_Bagamoyo_fune_2019_Q3
2,OKFR_001_B4-5273STDY12828341,TZ-AF-A-006,Fredros Okumu,Tanzania,Bagamoyo 1,2019,8,-6.385,38.567,F,1236-VO-TZ-OKUMU-OKFR-TZ-2008,1.1,3,TZA,Pwani,TZ-19,Bagamoyo,funestus,TZ-19_fune_2019,TZ-19_fune_2019_08,TZ-19_fune_2019_Q3,TZ-19_Bagamoyo_fune_2019,TZ-19_Bagamoyo_fune_2019_08,TZ-19_Bagamoyo_fune_2019_Q3
3,OKFR_001_B5-5273STDY12828342,TZ-AF-A-007,Fredros Okumu,Tanzania,Bagamoyo 1,2019,8,-6.385,38.567,F,1236-VO-TZ-OKUMU-OKFR-TZ-2008,1.1,3,TZA,Pwani,TZ-19,Bagamoyo,funestus,TZ-19_fune_2019,TZ-19_fune_2019_08,TZ-19_fune_2019_Q3,TZ-19_Bagamoyo_fune_2019,TZ-19_Bagamoyo_fune_2019_08,TZ-19_Bagamoyo_fune_2019_Q3
4,OKFR_001_B6-5273STDY12828343,TZ-AF-A-008,Fredros Okumu,Tanzania,Bagamoyo 1,2019,8,-6.385,38.567,F,1236-VO-TZ-OKUMU-OKFR-TZ-2008,1.1,3,TZA,Pwani,TZ-19,Bagamoyo,funestus,TZ-19_fune_2019,TZ-19_fune_2019_08,TZ-19_fune_2019_Q3,TZ-19_Bagamoyo_fune_2019,TZ-19_Bagamoyo_fune_2019_08,TZ-19_Bagamoyo_fune_2019_Q3
5,OKFR_001_B7-5273STDY12828344,TZ-AF-A-009,Fredros Okumu,Tanzania,Bagamoyo 1,2019,8,-6.385,38.567,F,1236-VO-TZ-OKUMU-OKFR-TZ-2008,1.1,3,TZA,Pwani,TZ-19,Bagamoyo,funestus,TZ-19_fune_2019,TZ-19_fune_2019_08,TZ-19_fune_2019_Q3,TZ-19_Bagamoyo_fune_2019,TZ-19_Bagamoyo_fune_2019_08,TZ-19_Bagamoyo_fune_2019_Q3
6,OKFR_001_B8-5273STDY12828345,TZ-AF-A-010,Fredros Okumu,Tanzania,Bagamoyo 1,2019,8,-6.385,38.567,F,1236-VO-TZ-OKUMU-OKFR-TZ-2008,1.1,3,TZA,Pwani,TZ-19,Bagamoyo,funestus,TZ-19_fune_2019,TZ-19_fune_2019_08,TZ-19_fune_2019_Q3,TZ-19_Bagamoyo_fune_2019,TZ-19_Bagamoyo_fune_2019_08,TZ-19_Bagamoyo_fune_2019_Q3
7,OKFR_001_C4-5273STDY12828346,TZ-AF-A-018,Fredros Okumu,Tanzania,Bagamoyo 2,2019,8,-6.386,38.567,F,1236-VO-TZ-OKUMU-OKFR-TZ-2008,1.1,3,TZA,Pwani,TZ-19,Bagamoyo,funestus,TZ-19_fune_2019,TZ-19_fune_2019_08,TZ-19_fune_2019_Q3,TZ-19_Bagamoyo_fune_2019,TZ-19_Bagamoyo_fune_2019_08,TZ-19_Bagamoyo_fune_2019_Q3
8,OKFR_001_D4-5273STDY12828347,TZ-AF-A-030,Fredros Okumu,Tanzania,Bagamoyo 3,2019,8,-6.385,38.567,F,1236-VO-TZ-OKUMU-OKFR-TZ-2008,1.1,3,TZA,Pwani,TZ-19,Bagamoyo,funestus,TZ-19_fune_2019,TZ-19_fune_2019_08,TZ-19_fune_2019_Q3,TZ-19_Bagamoyo_fune_2019,TZ-19_Bagamoyo_fune_2019_08,TZ-19_Bagamoyo_fune_2019_Q3
9,OKFR_001_D7-5273STDY12828348,TZ-AF-A-033,Fredros Okumu,Tanzania,Bagamoyo 3,2019,8,-6.385,38.567,F,1236-VO-TZ-OKUMU-OKFR-TZ-2008,1.1,3,TZA,Pwani,TZ-19,Bagamoyo,funestus,TZ-19_fune_2019,TZ-19_fune_2019_08,TZ-19_fune_2019_Q3,TZ-19_Bagamoyo_fune_2019,TZ-19_Bagamoyo_fune_2019_08,TZ-19_Bagamoyo_fune_2019_Q3
